arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
22870444,79668829,1,15-140-AR,2015-07-19 00:00:00,3,N,11,5,24,F,1,2,R,,,,,
22870448,79668835,1,15-190-AR,2015-10-13 00:00:00,3,N,28,5,30,M,1,2,R,,,,,
22870385,79668757,1,15-126-AR,2015-07-03 00:00:00,2,N,16,5,23,M,1,2,U,,,,,
22870387,79668760,1,15-130-AR,2015-07-08 00:00:00,2,N,16,5,28,M,1,2,U,,,,,
22870388,79668761,1,15-132-AR,2015-07-09 00:00:00,2,N,16,5,61,M,1,2,U,,,,,
22870389,79668762,1,15-133-AR,2015-07-10 00:00:00,2,N,16,5,17,M,1,2,R,H,,,,
22870390,79668763,1,15-134-AR,2015-07-12 00:00:00,2,N,16,5,22,M,1,2,N,,,,,
22870391,79668763,2,15-135-AR,2015-07-12 00:00:00,2,N,16,5,30,M,1,2,N,,,,,
22870392,79668763,3,15-136-AR,2015-07-12 00:00:00,3,N,48,5,22,M,1,2,N,,,,,
22870393,79668764,1,15-138-AR,2015-07-14 00:00:00,2,N,16,5,33,M,1,2,U,,,,,
22870394,79668765,1,15-139-AR,2015-07-14 00:00:00,2,N,16,5,25,M,1,2,U,,,,,
22870395,79668766,1,15-146-AR,2015-07-31 00:00:00,2,N,16,5,24,M,1,2,U,,,,,
22870422,79668792,1,15-208-AR,2015-12-14 00:00:00,2,N,16,5,30,M,1,2,N,,,,,
22870423,79668792,2,15-209-AR,2015-12-14 00:00:00,2,N,16,5,36,M,1,2,N,,,,,
22870425,79668794,1,15-211-AR,2015-12-19 00:00:00,2,N,16,5,17,M,1,2,N,H,,,,
22870426,79668795,1,15-214-AR,2015-12-27 00:00:00,2,N,16,5,19,M,1,2,N,,,,,
22870373,79668739,1,15-100-AR,2015-06-04 00:00:00,2,N,16,5,21,M,1,2,R,,,,,
22870374,79668741,1,15-103-AR,2015-06-05 00:00:00,2,N,39,5,29,M,1,2,N,,,,,
22870375,79668742,1,15-104-AR,2015-06-06 00:00:00,2,N,16,5,21,M,1,2,N,,,,,
22870376,79668743,1,15-106-AR,2015-06-06 00:00:00,2,N,16,5,21,M,1,2,N,,,,,
