arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
22628325,78848686,1,15-29-AR,2015-03-14 00:00:00,3,N,51,5,28,M,1,2,N,,,,,
23997248,83121870,1,16-49-AR,2016-03-30 00:00:00,3,N,4,5,81,M,1,2,R,,,,81,0
22628291,78847683,1,15-265-AR,2015-12-02 00:00:00,3,N,51,5,42,M,1,2,N,,,,,
22628293,78847693,1,15-269-AR,2015-12-09 00:00:00,2,N,48,5,17,M,1,2,R,R,,,,
22628294,78847696,1,15-270-AR,2015-12-10 00:00:00,2,N,45,5,36,F,1,2,N,,,,,
22628295,78847707,1,15-272-AR,2015-12-13 00:00:00,3,N,51,5,24,M,2,2,R,,,,,
22628296,78847721,1,15-279-AR,2015-12-29 00:00:00,3,N,45,5,41,F,1,2,N,,,,,
23997846,83121883,1,16-16-AR,2016-01-27 00:00:00,3,N,49,5,17,M,1,2,R,R,,,17,0
23997847,83121883,2,16-17-AR,2016-01-27 00:00:00,3,N,49,5,17,M,1,2,R,R,,,17,0
24213498,83733698,1,15-271-AR,2015-12-12 00:00:00,3,N,36,5,52,M,1,1,R,,,,52,0
22628299,78847735,1,15-26-AR,2015-03-06 00:00:00,3,N,5,5,35,F,1,2,R,,,,,
22628301,78848542,1,15-62-AR,2015-04-29 00:00:00,3,N,21,5,27,F,1,2,N,,,,,
23920919,82925286,1,15-164-AR,2015-08-02 00:00:00,3,N,2,5,32,M,2,2,N,,,,32,0
22628300,78848535,1,15-27-AR,2015-03-09 00:00:00,3,N,51,5,47,F,1,2,R,,,,,
22628323,78848681,1,15-112-AR,2015-06-04 00:00:00,3,N,51,5,25,M,1,2,R,,,,,
22628324,78848684,1,15-115-AR,2015-06-05 00:00:00,3,N,48,5,25,M,1,2,R,,,,,
22628326,78848687,1,15-119-AR,2015-06-06 00:00:00,3,N,51,5,17,F,1,2,N,R,,,,
