"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2017,26057075,89520843,2,19-JUL-17,3,"N",14,5,36,"M",1,2,"R","","",36,0
2017,26057074,89520843,1,19-JUL-17,3,"N",14,5,26,"F",1,2,"R","","",26,0
2017,26057097,89520889,1,17-JUL-17,3,"N",51,5,33,"M",1,2,"N","","",33,0
2017,26057203,89521132,1,29-JUL-17,1,"N",51,5,38,"F",1,2,"R","","",38,0
2017,26057228,89521161,1,22-JUL-17,1,"N",51,5,27,"M",1,2,"R","","",27,0
2017,26057248,89521191,1,18-JUL-17,1,"N",51,5,42,"M",2,1,"R","","",42,0
2017,26057267,89521221,1,14-JUL-17,1,"N",51,5,30,"M",1,2,"R","","",30,0
2017,26057477,89521754,2,24-AUG-17,1,"N",16,5,21,"M",1,1,"R","","",21,0
2017,26057476,89521754,1,24-AUG-17,1,"N",16,5,27,"M",1,1,"N","","",27,0
2017,26057491,89521768,1,18-AUG-17,3,"N",39,5,37,"F",1,2,"N","","",37,0
2017,26057533,89521821,2,07-AUG-17,1,"N",49,5,29,"F",2,2,"N","","",29,0
2017,26057532,89521821,1,07-AUG-17,1,"N",49,5,37,"M",1,1,"N","","",37,0
2017,26057562,89521878,1,25-APR-17,3,"N",23,5,39,"M",1,2,"N","","",39,0
2017,26057666,89522168,1,15-AUG-17,3,"N",51,5,28,"M",4,2,"R","","",28,0
2017,26057785,89522426,1,15-AUG-17,1,"N",16,5,34,"M",1,1,"R","","",34,0
2017,26057829,89522486,1,02-AUG-17,1,"N",53,5,17,"M",1,1,"R","H","",17,0
2017,26058137,89523536,1,11-AUG-17,3,"N",16,5,29,"F",1,2,"R","","",29,0
2017,26058257,89523900,1,14-AUG-17,1,"N",51,5,44,"F",1,2,"","","",44,0
2017,26058282,89523972,1,15-AUG-17,1,"N",51,5,30,"M",1,1,"R","","",30,0
2017,26058582,89524993,1,26-AUG-17,1,"N",39,5,54,"M",1,1,"","","",54,0
2017,26058634,89525153,1,27-AUG-17,1,"N",23,5,23,"F",1,2,"R","","",23,0
2017,26058327,89524197,2,25-AUG-17,1,"N",39,5,21,"M",2,2,"","","",21,0
2017,26058325,89524197,1,18-AUG-17,1,"N",27,5,24,"M",2,1,"","","",24,0
2017,26058565,89524936,1,25-AUG-17,3,"N",16,5,25,"M",1,1,"R","","",25,0
2017,26058722,89525521,1,03-AUG-17,3,"N",5,5,45,"M",1,2,"R","","",45,0
2017,26058878,89525899,1,18-AUG-17,1,"N",51,5,41,"M",1,2,"R","","",41,0
2017,26058894,89525934,1,28-AUG-17,1,"N",39,5,17,"M",1,2,"N","R","",17,0
2017,26058947,89526038,1,21-AUG-17,3,"N",45,5,53,"F",1,2,"R","","",53,0
2017,26058985,89526187,1,31-AUG-17,1,"N",51,5,60,"M",2,2,"R","","",60,0
2017,26059028,89526273,1,11-AUG-17,1,"N",16,5,20,"M",1,2,"R","","",20,0
2017,26059074,89526369,1,22-JUL-17,3,"N",25,5,61,"M",1,2,"R","","",61,0
2017,26059124,89526460,1,16-AUG-17,3,"N",11,5,28,"M",1,2,"N","","",28,0
2017,26059183,89526580,1,21-JUN-17,3,"N",51,5,27,"M",2,2,"N","","",27,0
2017,26059341,89526981,1,11-JUL-17,1,"N",24,5,49,"M",4,2,"U","","",49,0
2017,26059408,89527161,1,05-JUL-17,3,"N",51,5,52,"M",1,3,"R","","",52,0
2017,26059422,89527184,1,13-JUN-17,3,"N",51,5,31,"M",2,2,"N","","",31,0
2017,26057364,89521452,1,21-AUG-17,3,"N",56,5,38,"M",2,2,"R","","",38,0
2017,26057426,89521677,1,03-AUG-17,3,"N",5,5,19,"M",1,2,"R","","",19,0
2017,26057487,89521770,1,18-AUG-17,1,"N",16,5,36,"F",1,2,"N","","",36,0
2017,26057502,89521785,1,14-AUG-17,1,"N",27,5,32,"M",4,2,"N","","",32,0
2017,26057581,89521917,1,24-JUL-17,1,"N",16,5,29,"F",1,2,"N","","",29,0
2017,26057724,89522294,1,27-AUG-17,1,"N",51,5,46,"M",2,2,"R","","",46,0
2017,26057848,89522538,1,08-AUG-17,3,"N",23,5,35,"M",1,2,"N","","",35,0
2017,26057866,89522601,1,05-AUG-17,3,"N",27,5,39,"M",2,2,"","","",39,0
2017,26058142,89523559,1,11-AUG-17,1,"N",16,5,22,"M",1,1,"R","","",22,0
2017,26058276,89523955,1,15-AUG-17,3,"N",5,5,34,"M",1,2,"R","","",34,0
2017,27773915,94831214,1,30-NOV-17,1,"N",53,5,53,"M",1,2,"R","","",53,0
2017,27773923,94831220,1,29-NOV-17,1,"N",16,5,37,"M",2,2,"N","","",37,0
2017,27774112,94831683,1,23-DEC-17,1,"N",39,5,63,"M",1,2,"U","","",63,0
2017,27774161,94831735,1,27-NOV-17,1,"N",53,5,14,"M",2,2,"R","R","",14,0
2017,26055261,89516229,1,19-AUG-17,1,"N",48,5,19,"M",2,2,"N","","",19,0
2017,26055446,89516698,1,09-AUG-17,2,"N",2,5,39,"M",1,2,"N","","",39,0
2017,27774162,94831735,2,27-NOV-17,1,"N",53,5,15,"M",1,2,"R","R","",15,0
2017,26055736,89517467,1,21-AUG-17,1,"N",44,5,15,"F",2,2,"R","R","",15,0
2017,26055859,89517731,1,28-JUL-17,1,"N",16,5,29,"M",2,2,"N","","",29,0
2017,26055864,89517740,1,13-JUL-17,1,"N",53,5,59,"M",1,1,"N","","",59,0
2017,26055949,89517979,1,22-MAY-17,3,"N",51,5,50,"M",1,2,"R","","",50,0
2017,26055973,89518079,1,07-JUL-17,3,"N",5,5,37,"M",1,2,"N","","",37,0
2017,26055989,89518133,1,16-AUG-17,3,"C",49,5,23,"M",1,2,"N","","",23,0
2017,27774206,94831777,1,02-DEC-17,1,"N",23,5,57,"M",1,2,"N","","",57,0
2017,27774214,94831785,1,05-DEC-17,1,"N",16,5,21,"M",2,1,"R","","",21,0
2017,27774208,94831792,2,04-DEC-17,1,"N",48,5,37,"M",1,2,"R","","",37,0
2017,27774204,94831792,1,04-DEC-17,1,"N",53,5,57,"F",1,2,"R","","",57,0
2017,26056292,89518955,4,16-JUN-17,1,"N",30,5,29,"F",2,2,"N","","",29,0
2017,26056296,89518955,7,16-JUN-17,1,"N",30,5,52,"M",1,1,"R","","",52,0
2017,26056294,89518955,5,16-JUN-17,1,"N",30,5,42,"F",1,2,"N","","",42,0
2017,26056287,89518955,2,16-JUN-17,1,"N",30,5,36,"F",1,2,"N","","",36,0
2017,26056286,89518955,1,16-JUN-17,1,"N",30,5,27,"F",1,1,"N","","",27,0
2017,26056291,89518955,3,16-JUN-17,1,"N",30,5,40,"F",2,2,"N","","",40,0
2017,26056295,89518955,6,16-JUN-17,1,"N",30,5,25,"F",1,2,"N","","",25,0
2017,26056369,89519151,1,18-JUL-17,1,"N",39,5,20,"M",1,1,"R","","",20,0
2017,26056471,89519438,1,15-AUG-17,3,"N",5,5,22,"M",2,2,"N","","",22,0
2017,26056505,89519491,1,16-AUG-17,1,"N",53,5,21,"M",2,2,"R","","",21,0
2017,26056541,89519555,1,24-JUL-17,3,"N",53,5,29,"F",1,2,"R","","",29,0
2017,26056569,89519677,1,16-JUL-17,1,"N",51,5,34,"M",1,2,"N","","",34,0
2017,26056576,89519698,1,13-JUL-17,1,"N",14,5,15,"M",1,1,"N","H","",15,0
2017,26057217,89521149,1,26-JUL-17,1,"N",51,5,30,"M",1,2,"R","","",30,0
2017,26057298,89521250,1,08-JUL-17,1,"N",51,5,54,"F",1,2,"R","","",54,0
2017,26057311,89521268,1,02-JUL-17,1,"N",51,5,27,"M",2,2,"N","","",27,0
2017,26057366,89521459,1,21-AUG-17,3,"N",51,5,31,"M",2,1,"N","","",31,0
2017,26057418,89521633,1,08-AUG-17,3,"N",51,5,27,"M",2,1,"N","","",27,0
2017,26057518,89521807,1,09-AUG-17,1,"N",16,5,41,"F",1,2,"N","","",41,0
2017,26057558,89521855,1,12-MAY-17,2,"N",23,5,51,"M",1,2,"N","","",51,0
2017,26057624,89522005,1,31-AUG-17,3,"N",5,5,45,"F",1,2,"R","","",45,0
2017,26057653,89522143,1,17-AUG-17,3,"N",49,5,45,"M",1,2,"N","","",45,0
