arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
26023340,89284047,2,16AUB-1084-A,2016-07-27 00:00:00,2,N,45,5,17,M,1,2,R,R,,,17,0
26956973,92075172,1,16AUB-1317-A,2016-09-02 00:00:00,2,N,2,5,31,M,1,2,N,,,,31,0
26956881,92074970,1,16AUB-1153-A,2016-08-09 00:00:00,2,N,45,5,25,F,1,2,N,,,,25,0
25307155,87006436,1,16AUB-1274-A,2016-08-26 00:00:00,2,N,16,5,45,M,1,2,R,,,,45,0
25308079,87006461,1,16AUB-1250-A,2016-08-23 00:00:00,2,N,23,5,27,F,1,2,N,,,,27,0
25308132,87007562,1,16AUB-1172-A,2016-08-13 00:00:00,1,N,27,5,28,M,1,2,R,,,,28,0
25308169,87007598,1,16AUB-1141-A,2016-08-07 00:00:00,2,N,23,5,43,F,1,2,R,,,,43,0
25308110,87007522,1,16AUB-1201-A,2016-08-23 00:00:00,2,N,37,5,53,F,1,2,N,,,,53,0
25308090,87006489,1,16AUB-1214-A,2016-08-20 00:00:00,2,N,23,5,21,F,1,2,N,,,,21,0
25307184,87006505,1,16AUB-1208-A,2016-08-19 00:00:00,2,N,23,5,42,F,1,2,N,,,,42,0
25308131,87007559,1,16AUB-1170-A,2016-08-12 00:00:00,1,N,23,5,36,M,1,2,R,,,,36,0
25307222,87006731,1,16AUB-1143-A,2016-08-07 00:00:00,2,N,23,5,15,F,1,2,N,R,,,15,0
25308166,87007595,1,16AUB-1128-A,2016-08-04 00:00:00,1,N,23,5,37,M,1,2,R,,,,37,0
25307971,87005454,1,16AUB-1134-A,2016-08-06 00:00:00,1,N,23,5,26,F,1,2,R,,,,26,0
25307972,87005454,2,16AUB-1133-A,2016-08-06 00:00:00,2,N,23,5,26,F,1,2,N,,,,26,0
25308011,87006350,1,16AUB-1123-A,2016-08-03 00:00:00,3,N,16,5,29,F,1,2,N,,,,29,0
25307918,87005293,1,16AUB-1200-A,2016-08-18 00:00:00,2,N,2,5,56,F,1,2,R,,,,56,0
25307216,87006706,1,16AUB-1161-A,2016-08-11 00:00:00,2,N,51,5,26,F,1,2,R,,,,26,0
25307036,87005265,1,16AUB-1216-A,2016-08-20 00:00:00,2,N,51,5,34,M,1,2,R,,,,34,0
25307908,87006038,1,16AUB-1249-A,2016-08-23 00:00:00,2,N,56,5,18,M,1,2,R,,,,18,0
25307236,87006750,1,16AUB-1124-A,2016-08-03 00:00:00,2,N,35,5,27,M,1,2,N,,,,27,0
25308096,87006643,1,16AUB-1213-A,2016-08-20 00:00:00,2,N,45,5,15,M,2,2,R,R,,,15,0
25308115,87007528,1,16AUB-1194-A,2016-08-17 00:00:00,1,N,48,5,41,M,1,2,R,,,,41,0
25308080,87006468,1,16AUB-1241-A,2016-08-22 00:00:00,2,N,48,5,31,F,1,2,R,,,,31,0
25308111,87007523,1,16AUB-1199-A,2016-08-18 00:00:00,2,N,51,5,17,M,1,2,N,H,,,17,0
25307153,87006434,2,16AUB-1276-A,2016-08-27 00:00:00,2,N,2,5,22,F,0,3,N,,,,22,0
25308065,87006434,1,16AUB-1277-A,2016-08-27 00:00:00,2,N,2,5,36,F,1,2,N,,,,36,0
25308151,87007580,1,16AUB-1144-A,2016-08-07 00:00:00,2,N,47,5,33,M,1,2,N,,,,33,0
25307207,87007543,1,16AUB-1182-A,2016-08-14 00:00:00,2,N,51,5,14,F,1,2,R,R,,,14,0
25307021,87006001,1,16AUB-1252-A,2016-08-23 00:00:00,2,N,51,5,15,M,1,1,R,R,,,15,0
25307168,87006474,1,16AUB-1239-A,2016-08-22 00:00:00,2,N,16,5,17,F,1,2,N,R,,,17,0
25308077,87006459,1,16AUB-1258-A,2016-08-24 00:00:00,2,N,23,5,16,M,1,2,R,R,,,16,0
25307175,87006635,1,16AUB-1212-A,2016-08-19 00:00:00,2,N,5,5,27,M,1,2,R,,,,27,0
25307165,87006603,1,16AUB-1244-A,2016-08-22 00:00:00,1,N,48,5,26,F,1,2,N,,,,26,0
25308091,87006631,1,16AUB-1221-A,2016-08-21 00:00:00,2,N,16,5,20,M,1,2,R,,,,20,0
25308138,87007564,1,16AUB-1158-A,2016-08-10 00:00:00,1,N,23,5,36,M,1,2,N,,,,36,0
26023344,89284065,1,16AUB-1293-A,2016-08-30 00:00:00,1,N,51,5,23,M,1,2,R,,,,23,0
25308040,87006547,1,16AUB-1266-A,2016-08-25 00:00:00,3,M,49,5,25,M,1,2,N,,,,25,0
25308124,87006686,1,16AUB-1181-A,2016-08-14 00:00:00,1,N,51,5,19,F,1,2,R,,,,19,0
25307876,87005143,1,16AUB-1288-A,2016-08-28 00:00:00,2,N,49,5,16,M,1,2,R,R,,,16,0
25307170,87006621,1,16AUB-1237-A,2016-08-21 00:00:00,1,N,45,5,33,F,1,2,N,,,,33,0
25307221,87006732,1,16AUB-1146-A,2016-08-08 00:00:00,2,N,16,5,20,M,1,2,N,,,,20,0
26023342,89284953,2,16AUB-1210-A,2016-08-20 00:00:00,2,N,23,5,14,F,1,2,R,R,,,14,0
26024126,89284953,1,16AUB-1209-A,2016-08-20 00:00:00,2,N,23,5,19,M,1,2,N,,,,19,0
25308142,87007570,1,16AUB-1155-A,2016-08-09 00:00:00,1,N,23,5,23,F,1,2,R,,,,23,0
25307189,87007519,1,16AUB-1202-A,2016-08-18 00:00:00,2,N,16,5,38,M,1,2,R,,,,38,0
25308119,87007540,1,16AUB-1188-A,2016-08-15 00:00:00,2,N,2,5,31,M,1,2,N,,,,31,0
25308160,87007590,1,16AUB-1132-A,2016-08-06 00:00:00,2,N,16,5,20,M,1,2,N,,,,20,0
25307909,87006051,1,16AUB-1245-A,2016-08-22 00:00:00,2,N,2,5,33,M,1,2,R,,,,33,0
25308071,87006450,2,16AUB-1262-A,2016-08-25 00:00:00,2,N,16,5,18,F,1,2,N,,,,18,0
25307159,87006450,1,16AUB-1261-A,2016-08-25 00:00:00,2,N,35,5,18,M,1,2,R,,,,18,0
25306995,87005152,1,16AUB-1278-A,2016-08-27 00:00:00,2,N,23,5,17,M,1,2,R,R,,,17,0
25307156,87006442,1,16AUB-1272-A,2016-08-26 00:00:00,1,N,23,5,26,F,1,2,N,,,,26,0
25308082,87006470,2,16AUB-1242-A,2016-08-22 00:00:00,2,N,23,5,20,M,1,2,N,,,,20,0
25308081,87006470,1,16AUB-1243-A,2016-08-22 00:00:00,2,N,23,5,20,M,2,2,N,,,,20,0
25308097,87006646,1,16AUB-1207-A,2016-08-19 00:00:00,2,N,51,5,19,M,1,2,R,,,,19,0
25308143,87007571,1,16AUB-1152-A,2016-08-08 00:00:00,2,N,23,5,35,F,4,2,N,,,,35,0
25308113,87007524,1,16AUB-1197-A,2016-08-17 00:00:00,3,N,51,5,76,M,1,2,R,,,,76,0
25308133,87006699,1,16AUB-1169-A,2016-08-12 00:00:00,2,N,35,5,34,M,1,2,R,,,,34,0
25308167,87007597,1,16AUB-1121-A,2016-08-02 00:00:00,1,N,51,5,30,F,1,2,N,,,,30,0
25308086,87006616,1,16AUB-1236-A,2016-08-22 00:00:00,2,N,5,5,20,F,1,2,R,,,,20,0
25307135,87006399,1,16AUB-1296-A,2016-08-31 00:00:00,2,N,51,5,15,M,2,2,R,R,,,15,0
25308069,87006444,1,16AUB-1269-A,2016-08-26 00:00:00,3,N,51,5,44,F,1,2,R,,,,44,0
26271381,90018322,1,17AUB-91-AR,2016-12-27 00:00:00,3,N,2,5,19,F,1,2,N,,,,19,0
